cleantext,sentiment_type_training
demonetization of and note is a right step it can also reduce npa of bank if bad loan r allowed to b paid by these note,Positive
demonetization â now we know why keji is cry,Neutral
demonetization now keep your monies into clear economic stream because a single note is the nation s property,Positive
demonetization not enough see how we did it china â,Neutral
demonetization northeast reaction senior citizen we are happy everyone face some trouble but we are very happy with narendramodi pic twitter com fl1fu3oau6,Positive
demonetization narendramodi iamwithmodi great move brave move,Positive
demonetization narendramodi arunjaitley i am daring to give one suggestion that may help in reducing the mad rush at bank,Negative
demonetization my pov a step towards reforming cash economy smes will be impacted hrimpact pankajbansalpb any view,Positive
demonetization move will greatly benefit economy amitshah pic twitter com cyjh0eysbj,Neutral
demonetization move is really a painful surgicalstrike for some phagocytic demonic mitrons narendramodi rbi arunjaitley,Negative
demonetization modi it is good move but also request to do following two point which is pending for long due,Positive
demonetization may or may not be affecting sp but it s cleaning up black money from india arvindkejriwal,Positive
â demonetization many a lot to come i assume hope govt understands n allow private hospital a well to accept note,Neutral
demonetization lakh core cash and still long queue only core paid by bank to public in small n new currency eye opener,Negative
demonetization it detects r cr undisclosed income seizes r cr in new note in enquiry ops dna,Neutral
demonetization is wrong way to curb blackmoney right way is press conference dharnas hunger strike election promise arvindkejriwal,Negative
demonetization is v good step in year but balancing withdrawal with rupee supply is not only bad economics but bad mathematics,Negative
demonetization is the most commonly used term these day indianrupee india currency awareyourself banknotespic twitter com ssrc2r3rqp,Neutral
demonetization is the idea of govt say rbi the implementation show the decision wa taken by illiterate of economic,Negative
demonetization is the biggest blow to punjab s drug mafia interesting to see it impact on ground and election,Positive
demonetization is now trending in mumbai,Neutral
demonetization is like a brat only gud for birth giving parent but destructive for society later to be termed bastard on complete failure,Negative
demonetization is hit or a flop cashlesseconomy is a reality or myth followmeâ â,Neutral
demonetization is good in the long term but disastrous in the short term,Negative
demonetization is demoralising for blackmoney holder,Positive
demonetization is creative destruction of a destructive creation former reserve bank governor d subbarao on demonetisation,Negative
demonetization is bjp version of protest against adhm collection drop,Neutral
demonetization is be absorbed a short term pain by considering long term gain bjd_odisha cmo_odisha otvnews odishanow,Positive
demonetization is badly hurting vulnerable group,Negative
demonetization is an investment our future stop accepting it a inconvenience patient i nonsense narendramodi,Negative
demonetization is a master stroke but it execution is very poor,Negative
demonetization is a historic measure by pm to curb the menace of black money decision not taken in isolation say mvenkaiahnaidu,Neutral
demonetization indiaagainstcorruption officeofrg arvindkejriwal samajwadiparty bsp etc not they support govt provoke public,Neutral
demonetization indiaâ s next great satyagraha begin,Positive
demonetization india no pain no gain just chill have fun good move longterm modified surgicalstrikepic twitter com bo1o0cee8x,Positive
demonetization india economicsbehind economics behind demonetization of r note,Neutral
demonetization in pbd pm modi hit out at rajnitik pujari of corruption for criticising the move a anti people newindianxpress,Neutral
demonetization how will i pay the sabziwallah gandhi will be angry will lord ganesh accept only,Negative
demonetization hit india hard â,Negative
demonetization ha struck the core of terror funding manoharparrikar,Neutral
demonetization ha spelt disaster to congis jhasanjay priyankac19 time to throw the betrayer s here s my mumbai â,Neutral
demonetization ha spelt disaster crooked congis jhasanjay priyankac19 time throw the betrayer s my mumbai â,Neutral
demonetization ha penalized the entire informal sector while doing nothing to curb corruption or tax evasion â,Negative
demonetization ha overtaken war accident and terrorism now recognized a the second biggest cause of death after cancer,Positive
demonetization ha many positive result cashlesstransactions to be practised by all and new high denomination note to be withdrawn soon â,Positive
demonetization ha hit the economy in term of employment growth and investment impacting roti kapdaand makaan for many ppl incindia,Negative
demonetization ha given an opportunity for ifas to further grow their business to read full story click here pic twitter com p8qbsdohbr,Positive
demonetization ha exposed political agenda of defaming n demeaning employee n condoning the real culprit to garner vote and note,Positive
demonetization ha disrobed and denuded the people who were claiming to be revolutionary for a corruption free india,Positive
demonetization ha broken the myth accusing govt employee for corruption it is largely businessmen being caught holding black money,Positive
demonetization ha also exposed the corrupt netas who are opposing pm modi tooth and nail their plight is understandable iamwithmodi,Positive
demonetization government will act tough against trader if they hoard food grain said minister for food civil supply ut khader,Neutral
demonetization good work by brave pm,Positive
demonetization fully support and endorse the move being hailed a the best thing to happen in india after independence,Positive
demonetization for what money or people no atm no cash whats next narendramodi arunjaitley rbi,Negative
demonetization fallout correction in property price expected blackmoney currency realestatepic twitter com za4kpkoet4,Negative
demonetization failed to curb blackmoney where is blackmoney no more comment on demonetization,Negative
demonetization exposing the demon within indiafightsblackmoney indiafightscorruption rupee demonetisationresponsepic twitter com kf6hqcchvv,Negative
demonetization exposed the politician who were asking pm for the action against black money arnabonblackmoney,Positive
demonetization effect pm modi loses over 3l follower on twitter â,Neutral
demonetization done like this suddenly cause a contraction of trade hence of national income pmoindia,Negative
demonetization did not affect anything in the village but why â via imanotherindian,Neutral
demonetization can somebody tell me how much wealth is created by robert vadra in last and half year,Neutral
demonetization can namo get away with it by s balakrishnan ex toi pm modi ha triggered a massive quake in,Negative
demonetization bringing sense of being urban one revolutionary step wa surely needed mass is tough to be taught pmoindia chaaicoffee â,Positive
demonetization bring different challenge solution cash based mfis struck with dilemma â via economictimes,Neutral
demonetization best interest of nation will make indian economy strnger boosting confidence of global investor narendramodi arunjaitley,Positive
demonetization banned currency note worth cr recovered in west bengal held,Neutral
demonetization atm charge waived on transaction till dec â,Neutral
demonetization and trumpâ s triumph effect on india realestate â by anujpurijll on linkedin,Neutral
demonetization and the dance of democracy and the best performer is remonetiseindia remonetize bjp4india it,Neutral
demonetization and the dance of democracy and the best performer is,Neutral
demonetization and the banking system failure to cope with it localcircles survey â,Negative
demonetization an opportunity for indian ecommerce entrepreneur e commerce player cashing in on going cashless â,Neutral
demonetization a long a demo ha done good which it ha for the nation it doesn t really matter whose decision it is howz book sale,Positive
demonetization a great move to eradicate corruption one of the solution is to pay by dd if cheque aren t accepted by vendor hospital,Positive
demonetisation to me look like a move to help bank from their npa situation demonetization,Negative
demonetisation in india is causing a humanitarian crisis see for more demonetization atm cashlesssociety,Negative
demonetisation and the indian entertainment industry â via ig2emusic demonetization,Negative
demonetisation and the indian entertainment industry â via ig2emusic demonetization,Neutral
delhi cm arvindkejriwal say money from samajwadiparty bsp will got to bjp4india demonetization,Neutral
defeating exercise of one of the purpose of demonetization ha started already â,Neutral
dear vijayshekhar i am uninstalling paytm for mocking people facing hardship due to demonetization through ur disgusting ad stoppaytm,Neutral
dear pm narendramodi we the ppl of india vry hpy frm ur strong dcsn for demonetization of n nt to mk india free frm blackmoney,Positive
dear pm narendramodi plz dont pay any attention to negative feedback toward demonetization we are all happy and truly with u,Positive
dear pchidambaram_in kapilsibal manusinghvi if having any pride in ur legal skill you should be working to get stay on demonetization,Neutral
dear mr kejriwal arvindkejriwal don t try to play your dirty politics on demonetization ppl of india r happy great decision tkn by pm,Positive
dear all kindly make demonetization a huge success remember what go around come around too let s rid blackmoney fully once for all,Positive
day status check on currency chaos demonetization,Neutral
day of demonetization survival bank out of small note atm still closed have enough small change to last the week grocery,Negative
dasshaktikanta sir this may help to smoothening demonetization arjunrammeghwal ra_thore rbi theofficialsbi â,Neutral
currency woe bjp state chief kummanam blame it on keralites luxury demonetization â,Neutral
currency in india in form of r most fake currency wa in this denomination demonetization wa needed arunjaitley,Negative
currency exchange but denied bcoz they are not allowed to put thumb impression can india do something for those people demonetization,Neutral
currency demonetization put odds against goa casino the time of india casino goa demonetization aigf,Neutral
currency demonetization benefit to real estate sectorpic twitter com hq9rzclz6g,Neutral
curb the funding of terror activity afghanistan welcome india s decision on demonetization byebyeblackmoney â,Positive
credit worthiness past record might be an issue otherwise local grocery shop vendor are readily extending credit demonetization â,Neutral
coz of this demonetization online payment will become the game changer people now know the value of it _sachinbansal gmicbangalore,Neutral
couple start dating while waiting in queue outside bank also breakup by the time their turn came demonetization modernrelationships,Neutral
country is busy discussing pro con of demonetization meanwhile our security force keep fighting for u,Neutral
congress peep s dubious assumption and sob story clearly expose their ignorance about the banking system and demonetization,Neutral
congress party thats built on cash and can survive only onn cash demonetization seem to have delivered a deadlyblow,Neutral
common man is happy with demonetization except few having load of black money _ _ _,Positive
commie union of bank employee have conference this weekend adding chaos to the post demonetization rush concern for poor in the queue â,Negative
cold wave kill waiting for jihadi medium and kejriwal to put them under demonetization list,Neutral
circle of businessmen at a party in my gujju in law place all laughing discussing report of it raid all in support of demonetization,Positive
china want demonetization of bitcoin â,Neutral
chidambaram say rupee note will increase corruption demonetization,Neutral
chaos the morning after demonetization pic twitter com syxeohcmho,Negative
chankyabihar mind behind demonetization decision,Neutral
centre file caveat in sc asking the court not to pas any interim order against demonetization without hearing it stand totaltv_news,Neutral
centre file caveat in sc asking the court not to pas any interim order against demonetization without hearing it stand timesofindia,Neutral
â cc vinodunny please rt demonetization,Neutral
catching up on newslaundry nlhafta while standing in line making demonetization a leetle bearable,Neutral
cashless boosted by india s demonetization of r note â byebyeblackmoney demonetization blackmoney,Neutral
cash hamara haq hai chidambaram pretty much saying that at cong conv say pple s right ha been been violated by bjp govt demonetization pic twitter com jm7muuieqd,Negative
cash crunch leaf father jobless over demonetization _ _ pic twitter com xnpbt4gvdo,Negative
capital punishment new delhiâ s deadly smog diplomat_apac â smog demonetization disaster,Neutral
can mr modi s hot air talk make india s economy fly demonetization cashlesspic twitter com bhdpjahsl4,Neutral
can anyone let me know how is it possible demonetization demonetisationdisaster _ _ pic twitter com reouv9biic,Negative
call it a beautiful co incidence demonetization pic twitter com 91q4nhm8wo,Neutral
by mid afternoon tomorrow we should be getting note of r in mumbai sbi chairman smt arundhati bhattacharya demonetization,Neutral
but ques are so boaring demonetization,Neutral
bureaucrat can t think they just don t have the relevant body part â demonetization,Negative
btw modi gave good reason inflation corruption terrorism and lost to state exchequer demonetization,Positive
bsvishy 3l crore is an estimate arrived at upon consolidating data from diff source over a period of time so demonetization launched,Neutral
brilliant work thanks for visualizing the effect of demonetization in a positive perspective,Neutral
breaking modiâ s demonetization drive ha destroyed terror network in kashmir â,Positive
boy girl when the problem starting with demonetization begin they will look like this â,Neutral
bombay s residential construction industry is probably going to be hit hard cash transaction are the norm demonetization,Neutral
blame modi for demonetization by all mean but if you spare urjit patel for not using his authority to do his job you set a bad example,Negative
blackmoney holder in queue at bank of india branch alamganj patna demonetization pic twitter com ks9f6hqohf,Neutral
black2black demonetization scheme the most prevalent one contact bank manager and let him handle this loss,Positive
black2black demonetization scheme go to college and pay 25k each student to get lakh converted loss,Neutral
bjp4india chose rampalarjun jackieshroff for campaigning in upcoming poll cut in campaign budget effect of notebandi demonetization,Positive
bjp leader former dy bihar cm sushilmodi on demonetization in livemint common man will be the ultimate winner,Neutral
bjp is a failure a demonetization in tamilnadu,Negative
bizarre demonetization news robber take rs1500 but return old currencynotes to labourer read more here â,Neutral
big jolt to separatist and ranaayyub she wa upset that the stone pelting ha stopped in the valley after demonetization â,Neutral
big change cause short term disruption demonetization pic twitter com kjtjhlqsqu,Positive
big breaking modiâ s demonetization drive ha destroyed terror network in kashmir,Positive
bhupins5 guj knew about demonetization month back they were asked to change their 1k note â,Neutral
bhakts will say this lady also had agenda demonetization shame â,Neutral
bhakts are willing to go to any extent take any pain to prove modi s demonetization decision right,Negative
bhakt like mrsgandhi still believe that demonetization will adversely effect the super rich and curb their black money stupid sanghi,Neutral
bbc news no customer indian react to currency ban â modifightscorruption cashlessinindia demonetization,Neutral
bastardly act of demonetization,Negative
basically failedmodisarkar is preparing for the atm mess to continue for month due to unplanned demonetization exerciseâ â,Negative
bank waive levy of atm charge for all transaction by customer done their own other bank atm till dec rbi demonetization,Neutral
bank manager are the loophole in the duration of demonetization,Neutral
bank employee are literally giving their day night for this let s support them and be patient when in bank demonetization,Neutral
bank are also letting in fewer ppl to manage the crowd but all need to understand this and cooperate peacefully demonetization mumbaikar,Neutral
ban on note demonetization of currency â via indiblogger,Neutral
awful story abt ppl being refused treatment at hospital coz of demonetization govts around the world really screwing shit up this week,Negative
awesome initative by pizzahut employee â pizzahutforindia demonetization blackmoney,Neutral
atm will start dispensing r note by tomorrow economic affair secretary demonetization pic twitter com ujywcb44lc,Neutral
atm s wouldn t work on 9th and 10th november rather the withdrawal limit is r only atm currency demonetization,Neutral
atleast my credit card is more worthy than crore of cash demonetization,Neutral
atbspyouth demonetization khan and kapoor boy are hell scared they will have competition in bollywood modi crocodiletears,Neutral
at my home two completely apolitical voter have turned bhakts they are so happy with demonetization despite the inconvenience,Positive
assuming her lakh now worthless woman in telangana commits suicide after note ban â demonetization,Negative
asli mann ki baat on pm modiâ s demonetization check out what our cartoonist thought of the pm s latest scheme pic twitter com gng91yt3pk,Neutral
ashutosh83b after losing deposit in election black money due to demonetization aap will be literally sweeping mondaymotivationpic twitter com 25meyzz8lo,Positive
ashokepandit film notedown on demonetization made by young aspiring filmmaker director divyanshpandit9,Neutral
asadowaisi demonetization aimim burn pm effigy â,Neutral
arvindkejriwal u will not understand it sir focus on delhi s pollution level first leave this to people who understands it demonetization,Neutral
arvindkejriwal sir m ready to suffer in these 50days for medicine food good money but who re you stop u we support pm demonetization,Positive
arvindkejriwal ji is happy that now because of demonetization no one is talking about delhipollution he should thank narendramodi ji,Neutral
arvindkejriwal is more interested in demonetization than delhi air pollution need to prioritize better,Neutral
arvindkejriwal how were u even working for income tax dept i will never know demonetization,Neutral
arunjaitley we stand with the government on demonetization but request that some special provision be made for marriage function,Positive
arunjaitley sir gr8 move ask person to fill serial no to check counterfeit note not sure all bank r following it demonetization,Neutral
arunjaitley demonetization modi many people here don t have plan to visit india for next or year how they can exchange old note,Neutral
article abt demonetization blackmoney in malayalam keralapic twitter com wmhgbqkuhj,Neutral
are india etf feeling the pinch of the cashban demonetization modi indy inda vwo eem epi emergingmarket,Neutral
appeal for all opposing demonetization just step out of your office home and listen to the man on the street the nation is elated,Positive
anuragbatrayo explains demonetization is not such a bad thing applauds narendramodi s decision to read click,Negative
and you have to be a pappu and pappulover to think it won t demonetization,Neutral
and that s how demonetization sent the entire nation into a state of frenzy pic twitter com pghxnip7ie,Negative
and how is the view from that ivory tower demonetization â,Neutral
and her goonda tmc are master of riot and murder we know u not afraid of rioter but afraid of demonetization,Neutral
amidst all the supposed inconvenience the lil gesture of kindness amongst fellow human have stood out demonetization real achhedin,Neutral
ambani adani tata together have committed to invest in gujarat all the money collected by bank after demonetizationâ well somewhat soâ â,Neutral
allahabad long queue in front of a bank demonetization airpics sanjay pratappic twitter com z84mb8okmi,Negative
all you need to know a bank atm reopen after high value note were scrapped demonetization pic twitter com 6azvtykxfu,Neutral
all thing ve or ve aside modi s last speech reek of arrogance self loathing an absolute lack of empathy disgusting demonetization,Negative
all atm gone dry evyone in the adm teln ppl to go digital is this promotion for jio and paytm think it over demonetization,Negative
aliaa08 for now my biggest problem is to gather courage to stand in bank queue currencyban demonetization,Negative
ajaydevgn support pm narendramodi on currency demonetization shivaay adhm golmaal4,Neutral
airtel launch india s first payment bank mobilepayments india demonetization pic twitter com nja7n3w934,Neutral
after the demonetization if and currency note who is suffering black money holder or common man,Negative
after seeing demonetization i am now watching supermoonetization biggest moon in decade right now chk it demonetization supermoon,Neutral
after demonetization the benami property law is all set help curb blackmoney find out how it will affect you,Positive
after complete failure on demonetization by re introducing currency note next item of modi wl b war with pak before assembly elction,Negative
after a great move against blackmoney demonetization currencynotes bold move indian govt rbi narendramodi jaihind,Positive
actress anushka da celebrating demonetization and welcome remonetization anushkadas demonetization newspic twitter com 49kp3efagn,Neutral
aaptards sending this message to public utha le re baba utha le demonetization,Neutral
aajtak indiatv medium is just showing negative news why today every crime is bcuz of demonetization sudharjao else ppl wl boycott u,Neutral
a whatsapp forward in an era where everyone is an expert on everything demonetization pic twitter com 65drxofqxn,Negative
a right idea with hurried and bad implementation backfire foresight of the ripple effect would have avoided it demonetization,Negative
a per your best estimate how much of tn in old high denomination note will return to the formal banking channel rt demonetization,Neutral
a per report large amount of cash ha started flowing into previously inactive jandhan a c post demonetization â,Neutral
a of today thousand atm are functioning theofficialsbi chairman smt arundhatibhattacharya demonetization,Neutral
a nice analysis of demonetization from blackmoney to bullet train moneylifers modifightscorruption â,Positive
a mulla is giving biscuit bomb to the people in a queue demonetization pic twitter com kuqu614b1i,Neutral
a look at some of the number amidst demonetization in india â,Neutral
a look at how the demonetization move will affect certain sector and stock in india pic twitter com hoohmzjh14,Neutral
a little discomfort to u commoner but larger picture awesome and boldest unpolitical move by a politician narendramodi demonetization,Positive
â a if cashlessness will matter one bit to those bpl the demonetization tamasha,Negative
a few demonetization reaction for your hilarity doe pic twitter com 5rym59gvog,Neutral
a expected bjp fan hailing the demonetization a a masterstroke and anti bjp people calling it bullshit so which is true,Neutral
a dedicated bhakt can take any amount of beating _ _ _ cashrush cashban cashcruch demonetization pic twitter com jzbhgg3utk,Negative
a day pas and despair grows it seems more n more like a building ha been knocked down to fix a rat problem demonetization blackmoney,Negative
a country without a blackmarket is a country where the people have no real sovereignty fakedemocracy demonetization pmoindia rbi,Negative
a cash dry up indian card network are starting to feel the strain â via scroll_in demonetization,Neutral
7am panama wale sleeping swiss black money wale sleeping poor r standing in q in chilled mrng zalim crony_capitalism demonetization,Negative
_yogendrayadav you are such a hypocrite demonetization blackmoney â,Neutral
_ _ demonetization wa over due currency circulation wa more thandrequirement had cong been power they ld also hv done it,Neutral
_ _ demonetization if not successful it is at least ha unmasked the depth of corruption into the daylight quite awesomely,Positive
largest denomination note will be rupee worth about modi demonetization,Neutral
demonetization good will atm spew out my cash in 100 from tomorrow,Positive
demonetization wa an impossible task pm modi went beyond that to the possimpable,Positive
expect a barrage of criticism and demonization of narendramodi unrelated matter from western rag like theeconomist demonetization,Neutral
demonetization of r and note mean i will be in q in bank tomorrow to deposit my atm withdrawal of yesterday,Negative
currency demonetization a bold move,Positive
historical step taken by the pmoindia demonetization,Positive
no wonder our pm is a fan of tamil movie demonetization via youtube,Neutral
i know prize bond still exist but are there any other type of bearer bond still available in pakistan demonetization,Neutral
mfw i heard about demonetization pic twitter com w2q7eo3xm8,Neutral
demonetization modi s most imp decision avoid hardship to public accountless bank po push people around,Positive
modiji celebrates diwali a wee bit late this time the smoke all around wa a grand prologue you guy trump card demonetization,Positive
great move demonetization of note hope it is not related to voluntarydeclartion scheme,Positive
demonetization of old inr n note s great move bound to cleanse election n will rattle those contesting election in coming year,Positive
local restaurant accepts debit card for home delivery what an adoption rate salute pmmodi demonetization,Positive
india demonetize higher denomination currency to fight against black money money laundering and terrorism financing demonetization,Positive
sorry pmoindia a confused needle move but then none of your doltish economist ever did monetary economics seriously demonetization,Negative
i pay our part time cook maid regular autowalah by bank transfer medical and monthly provision by card demonetization,Neutral
which is d bigger news demonetisation of rupee note by pm modi or result of u presidential election demonetization 500rupee,Neutral
we welcome all the blackmoney rich to our middleclass category demonetization sadar amantran hai pic twitter com wxrblyxpcf,Positive
hardly any cash to use tomorrow small business surely on standstill demonetization india,Neutral
slightly upset about how everyone is crediting shankar but not the genius sujatha sivaji demonetization,Neutral
whole of india is waiting for ur shitty comment on demonetization to curb blackmoney arvindkejriwal officeofrg plz respond bos,Neutral
the whole unorganized economy fresh food vegetable contract labour etc ad infinitum will have it trade hit by demonetization pmoindia,Negative
music for the moment michael jackson black or white sorightnow demonetization,Neutral
the luckiest people are those who were attending a wedding function tonight gave away and r no loss demonetization blackmoney,Neutral
would b interesting to see how party fight forthcoming assembly poll without r 1k note blackmoney demonetization,Neutral
some misinformation on demonetization already on whatsapp do spread the real detail folk,Neutral
only the note are being scrapped no demonetization now probably after day,Neutral
no wonder mamata is so shaken about the demonetization,Neutral
modi hit a sixer which went beyond all the stadium in india modistrikes demonetization,Positive
urjit rbi you needed to get analytics right advise pmoindia accordingly demonetization no one in gov t who get money demand supply,Negative
demonetization humour jumped red light caught by policewala gave him ka note policewala sir hi de do via whatsapp,Neutral
well the paytm test series doe indeed begin tomorrow indvseng demonetization,Neutral
it is unfair for mr modi to take such step without calling an all party meeting on demonetization please oppose this officeofrg,Negative
i didn t know what to make of the demonetization news so i called amas32 for an explanation sparemin,Neutral
if r and r note have been demonetised and become useless how do you unearth black money demonetization,Neutral
don t worry you got a story for your next movie demonetization,Neutral
exchange offer r for r note currency demonetization,Neutral
kapilsibal ji please take up get a stay on this demonetization from sc tomorrow,Neutral
one high dignitary noted for sitting in a room filled with cash in younger day ha one note welcomed demonetization rbi pmoindia,Neutral
some clarity demonetization,Neutral
modi trump hillary donald demonetization deewalaafterdiwali blackmoney,Neutral
analytically battling counterfiets or terrorism a different thing from unearthing untaxed income rbi pmoindia demonetization,Neutral
most people i know happy with demonetization but some client not pleased about 10k withdrawal limit need cash for day to day expense,Positive
rather than indulging in political debate and scaremongering the medium shud spread knowledge and info on the next step demonetization,Neutral
news channel had prepared for hillary and trump modi came out of syllabus copied lovedthistroll demonetization currencynotes,Neutral
two thing about demonetization great timing when everyone distracted by trump hillary circus no leak whatsoever that s a first,Positive
such fringe case of inconvenience will be spun a an argument against demonetization i repeat it is the story that matter data doesn t pic twitter com z0s3gsff2q,Negative
rajini also support narendramodi demonetization move indiafightscorruption and blackmoney,Neutral
all we need is a trump victory tomorrow lower circuit to pakka hai nifty electionday demonetization,Neutral
post demonetization arvindkejriwal in real shock how blackmoney wil b used in punjab goa gujrat poll surgicalstrikeonblackmoney,Neutral
definition of demonetization worth reading blackmoney surgicalstrikeonblackmoney shefvaidyapic twitter com fsugfk1oqa,Neutral
narendramodi best step to get blocked black and bogus currency out demonetization indiafightscorruption,Positive
ask what legal tender mean rbi pmoindia demonetization people can ignore the gov t continue using the note in trade if they wish,Negative
prabhu shri narendramodi ji aap mahaan ho what a bold move class demonetization rupee blackmoney,Positive
demonetization what a brilliant move by the pm narendramodi need to have gut total respect for him narendramodi,Positive
this is not connected with demonetization declared by mr modi,Neutral
taking clue 4m theofficialsbi expectedly other bank icicibank hdfc_bank 2wud help demonetization in tune with pmoindia directive pic twitter com mbbqdrsmue,Neutral
just wondering if govt thought dis through b4 implementing general public is already facing issue at hsptals fuel pump demonetization,Negative
never heard a rumor regarding the today s order this is perfection this is namo wellplayedmodi didntseethatcoming demonetization,Positive
if you re getting excited about this move and i don t blame you do spare a moment to read this thread demonetization,Positive
demonetization any word from the congress party or their ruler have not seen anything yet,Neutral
sc judge will have reason to oppose demonetization move by the govt you know that well,Neutral
much more could hv been done with much le risk courage currencyscrapping demonetization,Negative
demonetization middle class in india is stumped a u prepares to be trumped both are so painfully hillarious,Negative
bigbazaar ha sent out sm informing their extended work hour for today guess most jeweller wd do so demonetization currencyban,Neutral
just imagine the thousand of thought come to pmmodi about demonetization yet he delivered with a punch this is called real gut,Positive
discussion in my whatsapp group today making me feel like i am part of serious think tank demonetization,Neutral
folk demonetization psa there will be genuine people people you know who will need to change old note but either not know how or,Neutral
when you got nothing you got nothing to lose bobdylan blackmoney demonetization,Neutral
full respect for narendramodi pmoindia demonetization,Positive
interesting take blackmoney demonetization india,Neutral
demonetization is a rare policy measure by this govt otherwise it s all renaming or trumpeting symbolic non achievement,Positive
what a shame so called crusader against corruption black money is silent opposing the demonetization arvindkejriwal is biggest hypocrite,Neutral
the situation in india apparently demonetization,Neutral
masterstroke by modi surgical strike on blackmoney blackmoney demonetization,Positive
i paid my last three r note to the cabbie now so i am practically bankrupt a of now demonetization rs500rs1000banned,Neutral
the transition of the pre wa smooth and hassle free but today s announcement will lead to chaos demonetization,Negative
demonetization wow what a stroke modi played the trump card poori india hillary hai,Positive
revealed arnabgoswami modifightscorruption blackmoney currency demonetization indiafightscorruption modi,Neutral
hope to wake up see such full page ad and banner issued in public interest on how to deposit 500 1000 demonetization currencybanpic twitter com kkivyi6ahf,Neutral
synonym of the two word lion and brave would be modi indiafightscorruption demonetization blackmoney modi currency rs500rs1000,Positive
hilarious the biggest bjp votebank will lose most in the demonetization of currency namo namah pic twitter com scnjpjqdni,Neutral
demonetization well thought decision hat off to pm modi,Positive
the first step in the right direction a brave move blackmoney demonetization fightagainstcorruption,Positive
just got this on whatsapp demonetization blackmoney biggboss10pic twitter com kd0wyv4kyi,Neutral
demonetization will bring the inflation down achedin ahead rbi,Positive
demonetization demonetization blackmoneymatters excited banned modified modivation modiji support blackmoney corruptionpic twitter com uc0vhuvp7h,Positive
it won t be exaggeration if i say this today a everyone is discussing this bold decision blackmoney demonetization,Positive
swaraj india s first take on demonetization,Neutral
given that one aim of demonetization wa tackling counterfeiting operation why not embed new note with rfid,Neutral
